skv,X,Y,Z,H,Ip,Il,W,r,rs,e,WL,Wp,jn,E12mk.w,jw,rd,d0.3,cluster,qname
217,462472.38994510006,89502.851988,34.16,5.6,13.2,-0.19,17.2,1.96,2.71,0.623,32.9,19.7,,,22.0,1.67,0.006999999999999999,Q,L.epIII-H
119,462989.24446843006,89339.997135616,41.15,2.1,16.5,-0.31,12.2,1.91,2.72,0.596,33.8,17.3,,,21.0,1.7,0.025,Q,L.epII
209,462136.74304900004,89612.9661712,19.63,13.8,20.9,0.13,18.6,1.96,2.73,0.6509999999999999,36.8,15.9,,,20.0,1.65,,Q,L.epIII-H
224,462740.50099450006,89415.1158528,18.83,19.7,11.3,0.13,14.8,1.89,2.7,0.643,24.6,13.3,,,22.0,1.65,,Q,L.epIII-H
109,462054.699613,89683.9990744,29.95,2.8,6.6,-0.64,13.6,2.02,2.68,0.506,24.4,17.8,,,48.0,1.78,,Q,L.epIII-H
119,462989.24446843006,89339.997135616,33.85,9.4,11.4,-0.02,16.9,1.78,2.73,0.792,28.5,17.1,,,18.0,1.52,,Q,L.epII
224,462740.50099450006,89415.1158528,27.43,11.1,13.2,0.17,17.3,1.96,2.73,0.632,28.2,15.0,,,22.0,1.67,,Q,L.epIII-H
165,471275.9581033,90389.5928472,14.53,3.5,18.4,-0.31,13.3,1.95,2.69,0.5660000000000001,37.4,19.0,,,23.0,1.72,,Q,L.epII
203,461914.648318,89669.12811199999,26.7,4.8,15.6,-0.08,18.0,1.82,2.7,0.75,34.9,19.3,,,21.0,1.54,0.011000000000000001,Q,L.epIII-H
233,463082.38739140006,89303.25505759999,32.31,15.2,26.3,0.07,20.4,1.97,2.73,0.6679999999999999,44.8,18.5,,,25.0,1.64,,Q,L.epII
131,464735.1426604001,89867.32641439998,42.45,8.8,45.3,0.64,70.8,1.54,2.49,1.761,87.0,41.7,,,21.0,0.9,,N,edH
174-1,464307.67386064,89780.24760759198,65.43,1.2,26.2,0.36,32.9,1.87,2.7,0.9179999999999999,49.6,23.4,,,15.0,1.41,,N,edH
124,464084.86706161,89685.93007776799,43.3,18.2,24.2,0.24,30.6,1.85,2.76,0.946,49.1,24.9,,,19.0,1.42,,N,edH
131,464735.1426604001,89867.32641439998,48.25,3.0,43.6,0.6,64.2,1.62,2.7,1.735,81.5,37.9,,,21.0,0.99,,N,edH
28?,469274.5144816,90252.248916,27.24,8.8,19.17898747,0.5072316020000001,39.95,1.7875,2.7713856210000003,1.1698205179999999,49.40079893,30.22181146,,,27.0,1.277241872,,N,L.epII
4,472435.2791002,89871.9238184,19.08,2.0,14.33,-0.42,12.1,1.81,2.69,0.6659999999999999,32.45,18.12,24.23,13.3731198,24.23,1.61,0.024,Q,L.epIII-H
4,472435.2791002,89871.9238184,15.08,6.0,15.59,-0.16,18.59,1.9,2.71,0.691,36.7,21.11,22.54,11.82473275,22.54,1.6,0.013000000000000001,Q,L.epIII-H
10?,463961.17083310004,89653.37782079999,53.7,8.7,23.33,0.5,43.77,1.73,2.73,1.2690000000000001,55.51,32.18,11.31,,11.3,1.2,,N,edH
25,472959.8321326001,89880.6970304,15.85,5.0,10.19,-0.65,12.1,1.94,2.7,0.56,28.93,18.74,,21.13749828,25.17,1.73,,Q,L.epIII-H
14,472772.78209780005,89870.8343608,13.53,7.0,11.64,-0.54,11.86,1.81,2.69,0.662,29.78,18.14,,20.39142117,23.51,1.62,,Q,L.epIII-H
